X,Y,OBJECTID,Objecttype,Type_fietsstalling,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Fietspomp,Objectcode,Aantal_plaatsen,Aantal_rijen
495059.404915947,6656809.67324862,529412,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Gitschotellei,221,,Borgerhout,2140,,FS_0255011,3,1
495075.109380745,6656805.80386791,529413,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Gitschotellei,223,,Borgerhout,2140,,FS_0255012,3,1
496199.076191449,6661794.04867505,529414,FIETSSTALLING,NIETJE_GROEP,VOETPAD,De Berlaimontstraat,78,,Deurne,2100,,FS_0255013,4,1
496427.145625351,6656027.91828315,529415,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Boekenberglei,223,thv 223,Deurne,2100,,FS_0255014,3,1
495866.544469023,6657392.28932396,529416,FIETSSTALLING,NIETJE_GROEP,VOETPAD,De Borrekensstraat,112,od hoek,Deurne,2100,,FS_0255015,2,1
495886.928522042,6657410.45137881,529417,FIETSSTALLING,NIETJE_GROEP,VOETPAD,De Borrekensstraat,108,od hoek,Deurne,2100,,FS_0255016,2,1
497182.318600611,6655885.8495432,529418,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Drakenhoflaan,219,,Deurne,2100,,FS_0255017,3,1
497348.897570561,6661178.09208987,529419,FIETSSTALLING,NIETJE_GROEP,RIJWEG,Kreglingerstraat,26-28,,Deurne,2100,,FS_0255018,2,1
496048.117733533,6658058.60963129,529420,FIETSSTALLING,NIETJE_GROEP,PARKEERZONE,Van Lissumstraat,65,,Deurne,2100,,FS_0255019,2,1
497619.373556687,6656904.1376689,529421,FIETSSTALLING,NIETJE_GROEP,PARKEERZONE,Freddy Damsstraat,35,to 35,Deurne,2100,,FS_0255020,2,1
497639.464177389,6657001.21974236,529422,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Freddy Damsstraat,16,,Deurne,2100,,FS_0255021,2,1
497600.486956153,6657044.74132301,529423,FIETSSTALLING,NIETJE_GROEP,VOETGANGERSZONE,Hugo van Craenhovestraat,22,naast 22,Deurne,2100,,FS_0255022,4,1
497967.016761535,6657516.99089651,529424,FIETSSTALLING,NIETJE_GROEP,WOONERF,Vuurwerkstraat,46,to 46,Deurne,2100,,FS_0255023,4,1
496960.72036542,6657596.32354252,529425,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Sint-Rochusstraat,79,aan bushalte,Deurne,2100,,FS_0255024,4,1
497757.695545519,6656862.74333687,529426,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Constant Jorislaan,72,,Deurne,2100,,FS_0255025,3,1
497737.397005303,6656859.66206047,529427,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Constant Jorislaan,68,,Deurne,2100,,FS_0255026,2,1
