X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO
493502.303462244,6663941.77367473,54498,GLASCONT_01056,duo glasbol,D1047,FERDINANDUSDIJKSTRAAT,43,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
493116.562568031,6664806.41904491,54499,GLASCONT_01057,duo glasbol,D1178,LAMBRECHTSHOEKENLAAN,44,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
493566.9543292,6665215.36201336,54500,GLASCONT,duo glasbol,D3078,BRANDBEEK,50,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
493380.31854791,6665298.54195381,54501,GLASCONT_01059,duo glasbol,D1036,LAMBRECHTSHOEKENLAAN,135,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
493612.032690101,6665925.14964042,54502,GLASCONT_01060,mono glasbol groen,M1539,LAMBRECHTSHOEKENLAAN,238,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
493305.04135641,6666062.46146423,54503,GLASCONT_01062,duo glasbol,D1112,SLUITBERG,,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
494037.992096423,6665576.92824715,54504,GLASCONT_01063,mono glasbol groen,M1592,RODELOOPSTRAAT,178,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
493029.616273836,6666636.2622916,54505,GLASCONT_01065,duo glasbol,D1093,GEERTSHOEK,24,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
493545.434803044,6666839.10188609,54506,GLASCONT_01066,duo glasbol,D1018,VICTOR GOVAERSLAAN,16,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
491157.952747677,6673899.16086518,54507,GLASCONT_01067,duo glasbol,D1217,,2,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
493094.630330441,6672378.15809475,54508,GLASCONT_01069,duo glasbol,D3180,VOGELKERSSTRAAT,129,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
494034.368743668,6673426.78595394,54509,GLASCONT_01070,duo glasbol,D1091,VAN DE WEYNGAERTPLEIN,28,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
492823.992140241,6670561.88840318,54510,GLASCONT_01074,duo glasbol,D1116,VELTWIJCKLAAN,39,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
493480.285666839,6671059.89486175,54511,GLASCONT_01075,duo glasbol,D1189,KARDELAAN,1,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
493303.515345201,6671558.63217547,54512,GLASCONT_01076,duo glasbol,D1244,OOSTERGEEST,8,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
494756.965933944,6672094.94850916,54513,GLASCONT_01078,duo glasbol,D1273,VELTWIJCKLAAN,,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
495019.927040201,6671215.71711734,54514,GLASCONT_01079,duo glasbol,D1209,KRUIDENLAAN,64,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
494348.167375357,6671090.61204721,54515,GLASCONT_01081,duo glasbol,D1132,WEEGBREELAAN,31,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
495123.918455916,6669921.70074992,54516,GLASCONT_01083,duo glasbol,D1130,SINT-LUCASLAAN,2,2180,NOORD,Ekeren,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
480460.66288888,6681680.63038934,54517,GLASCONT_01086,duo glasbol,D1094,SCHOUWVEGERSTRAAT,1,2040,NOORD,Parking,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
480071.444932302,6682718.51915235,54518,GLASCONT_01087,duo glasbol,D1098,PRELATENSTRAAT,21,2040,NOORD,,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
481405.091172683,6682379.00337382,54519,GLASCONT_01088,duo glasbol,D1205,CECILIANENSTRAAT,to 42,2040,NOORD,Bezali,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
481484.335872956,6682678.56755341,54520,GLASCONT_01089,duo glasbol,D1003,DOMINICANENSTRAAT,,2040,NOORD,hoek kruisbos,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
481876.458609664,6683011.20133703,54521,GLASCONT_01090,mono glasbol groen,M1634,,182,2040,NOORD,Bezali,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
481877.689912984,6683006.72551219,54522,GLASCONT_01091,mono glasbol wit,M1532,,182,2040,NOORD,Parking Carrefour,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
481297.313265042,6683360.67617887,54523,GLASCONT_01092,duo glasbol,D1124,FREDERIK-HENDRIKSTRAAT,24,2040,NOORD,,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
482595.555108737,6682866.80633022,54524,GLASCONT_01095,duo glasbol,D1084,,17,2040,NOORD,Bezali,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
482508.960643401,6684165.46337023,54525,GLASCONT_01096,duo glasbol,D1061,STEENOVENSTRAAT,66,2040,NOORD,Bezali,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
481590.482870413,6684725.28930331,54526,GLASCONT_01097,duo glasbol,D1083,BREMSTRAAT,1,2040,NOORD,Bezali,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
480597.956976977,6684646.90334992,54527,GLASCONT_01099,duo glasbol,D1235,,,2040,NOORD,Bezali,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,x,,,,
477351.080975502,6675294.08122867,54528,GLASCONT_01103,duo glasbol,D1069,VESTINGSTRAAT_BZL,,2040,NOORD,Tolhuisstraat - ingang parking,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,x,,,,
489863.573369167,6660072.79243916,54529,GLASCONT_01108,mono glasbol groen,M1553,GROENKERKHOFSTRAAT,2,2000,MIDDEN,Centrum1,2013/01/17 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
489866.140815647,6660072.17069049,54530,GLASCONT_01109,mono glasbol wit,M1572,GROENKERKHOFSTRAAT,2,2000,MIDDEN,Centrum1,2013/01/17 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
495242.50384951,6659093.2128228,54531,GLASCONT_01043,duo glasbol,D1240,COLLEGELAAN_BO,5,2140,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
489453.833749429,6660509.68271689,54532,GLASCONT_01915,mono glasbol wit,M1602,ERNEST VAN DIJCKKAAI,,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
490978.617814904,6659656.84669099,54533,GLASCONT_02308,duo glasbol,D1162,MEISTRAAT,5-7,2000,MIDDEN,Centrum1,2013/01/17 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,
491780.315620284,6674250.18141411,54534,GLASCONT_02714,duo glasbol,D1107,KLEIN HEIKEN,98,2180,NOORD,Ekeren,2014/02/11 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
489564.39002819,6659261.07208072,54535,GLASCONT_02715,ondergrondse duo,O1104-A696,LANGE VLIERSTRAAT,111,2000,MIDDEN,Centrum1,2014/02/12 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
488315.391845304,6660195.84617028,54536,GLASCONT_02716,ondergrondse wit,O1108-A691,BEATRIJSLAAN,12,2050,MIDDEN,Linkeroever,2015/03/23 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
488322.396948104,6660193.36907333,54537,GLASCONT_02717,ondergrondse groen,O1109-A690,BEATRIJSLAAN,12,2050,MIDDEN,Linkeroever,2015/03/23 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
496298.125950437,6657979.87421879,54538,GLASCONT_03517,mono glasbol wit,M1543,ARENAPLEIN,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
496297.213227701,6657977.2401418,54539,GLASCONT_03518,mono glasbol groen,M1640,ARENAPLEIN,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
489813.61371629,6652323.16999821,54540,GLASCONT_03917,mono glasbol groen,M1661,GOUDENREGENLAAN,2,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
489239.276215022,6658382.49899059,54541,GLASCONT_04318,duo glasbol,D3034,LEOPOLD DE WAELPLAATS,13,2000,MIDDEN,Centrum1,2016/03/30 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
489241.054970989,6658380.9299336,54542,GLASCONT_04319,duo glasbol,D3003,LEOPOLD DE WAELPLAATS,13,2000,MIDDEN,Centrum1,2016/03/30 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,
