X,Y,OBJECTID,CODE_OBJECT,ROEPNAAM_ZZ_OBJECT,NAAM_ZAAL,HOOFDFUNCTIE_ACTIVITEITSTYPE,MAX_ZITTEND,MAX_STAAND,ORIG_FID
479910.21404766,6685340.89275903,100884,0000023641,Martinushoeve,Zaal 1858,"Feest, Religiebeleving, Vergader, Vergader1",180,250,600
479910.21404766,6685340.89275903,100885,0000023641,Martinushoeve,Corneliuskamer,"Feest, Religiebeleving, Vergader, Vergader1",38,50,601
479910.21404766,6685340.89275903,100886,0000023641,Martinushoeve,Oogst5,"Feest, Religiebeleving, Vergader, Vergader1",110,200,602
479910.21404766,6685340.89275903,100887,0000023641,Martinushoeve,Tuin,"Feest, Religiebeleving, Vergader, Vergader1",180,250,603
479910.21404766,6685340.89275903,100888,0000023641,Martinushoeve,Kalverstal,"Feest, Religiebeleving, Vergader, Vergader1",30,40,604
492848.110800653,6659007.45812857,100889,0000001184,De Branderij,Grote Zaal gelijkvloers,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",70,180,605
490892.269395384,6659663.50567328,100890,0000009968,Horta,Art Nouveau Zaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",500,1000,606
491572.86297208,6656662.76225109,100891,0000020967,Afspanning De Hand,Zaaltje,"Feest, Hobby, Sport, Vergader, Vergader1",49,110,607
484069.992532975,6650359.56801423,100892,0000007877,Outfort,Outfort - Hoofdfrontgebouw,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",200,249,608
484069.992532975,6650359.56801423,100893,0000007877,Outfort,Outfort - Caponnière,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",140,249,609
492271.194424195,6656238.44734299,100894,0000000933,ccBe,Foyer,"Feest, Repetitie, Vergader",50,100,610
492271.194424195,6656238.44734299,100895,0000000933,ccBe,Blauwe Zaal,"Feest, Repetitie, Sport, Vergader, Vergader1",30,60,611
494562.062922858,6655924.81194517,100896,0000007846,Groenenhoek,Keuken,"Feest, Hobby, Religiebeleving, Vergader1",,10,612
494562.062922858,6655924.81194517,100897,0000007846,Groenenhoek,Vervaetzaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",64,104,613
494562.062922858,6655924.81194517,100898,0000007846,Groenenhoek,Kleine zaal,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",20,20,614
490329.988411024,6661889.24661585,100899,0000024183,9 Beaufort,Zaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",130,180,615
490329.988411024,6661889.24661585,100900,0000024183,9 Beaufort,Terras,"Feest, Hobby, Vergader, Vergader1",,100,616
484339.932826244,6650475.05681452,100901,0000004359,Outfort,Outfort - Caponnière,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",140,249,617
489547.989309166,6659874.25156822,100902,0000021306,Den Oever,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",200,250,618
489547.989309166,6659874.25156822,100903,0000021306,Den Oever,Hobbyzaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",49,80,619
489547.989309166,6659874.25156822,100904,0000021306,Den Oever,Vergaderzaal 1,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",15,15,620
489547.989309166,6659874.25156822,100905,0000021306,Den Oever,Vergaderzaal 2,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",15,15,621
487317.108123842,6654813.15232757,100906,0000023446,De Boskes,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",80,160,622
487317.108123842,6654813.15232757,100907,0000023446,De Boskes,Grote zaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",50,50,623
492328.252046842,6661798.98291991,100908,0000021256,Essenhof,Cafetaria,"Feest, Repetitie, Sport, Vergader, Vergader1",65,90,624
490029.366021984,6659657.90136155,100909,0000000411,AMUZ,Concertzaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",250,500,625
490029.366021984,6659657.90136155,100910,0000000411,AMUZ,Oude Foyer,"Feest, Hobby, Repetitie, Vergader, Vergader1",60,150,626
490029.366021984,6659657.90136155,100911,0000000411,AMUZ,Nieuwe Foyer,"Feest, Hobby, Repetitie, Vergader, Vergader1",50,100,627
490029.366021984,6659657.90136155,100912,0000000411,AMUZ,Foyer Modulair,"Feest, Hobby, Repetitie, Vergader, Vergader1",110,250,628
490029.366021984,6659657.90136155,100913,0000000411,AMUZ,VIP-ruimte,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",20,40,629
493570.815673484,6658914.60667188,100914,0000001370,De Shelter,Shelterzaal,"Feest, Repetitie, Vergader, Vergader1",50,80,630
491267.910590843,6660358.51440024,100915,0000023751,Auxilia,Auditorium,"Feest, Hobby, Sport, Vergader, Vergader1",134,250,631
491267.910590843,6660358.51440024,100916,0000023751,Auxilia,Wapper,"Feest, Hobby, Sport, Vergader, Vergader1",30,30,632
491267.910590843,6660358.51440024,100917,0000023751,Auxilia,Opsinjoorke,"Feest, Hobby, Sport, Vergader, Vergader1",20,20,633
491267.910590843,6660358.51440024,100918,0000023751,Auxilia,Pagadder,"Feest, Hobby, Sport, Vergader, Vergader1",16,16,634
491267.910590843,6660358.51440024,100919,0000023751,Auxilia,Hall,"Feest, Hobby, Sport, Vergader, Vergader1",,250,635
490247.812104564,6659125.38141708,100920,0000011143,"De Studio, Villanella",Foyer,"Feest, Vergader, Vergader1",45,100,636
490247.812104564,6659125.38141708,100921,0000011143,"De Studio, Villanella",Studio Large,"Feest, Vergader, Vergader1",45,80,637
490247.812104564,6659125.38141708,100922,0000011143,"De Studio, Villanella",De Fred,"Feest, Vergader, Vergader1",45,80,638
490247.812104564,6659125.38141708,100923,0000011143,"De Studio, Villanella",Theaterzaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",200,200,639
491185.954797517,6661068.60155736,100924,0000020771,Gate 15,Tarmac,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",85,140,640
491185.954797517,6661068.60155736,100925,0000020771,Gate 15,MeetAndGreet,"Feest, Hobby, Repetitie, Vergader, Vergader1",30,30,641
496705.824786323,6655718.67258654,100926,0000001411,Deurnese Turners Sport,Terras,"Feest, Religiebeleving",40,40,642
496705.824786323,6655718.67258654,100927,0000023905,Deurnese Turners Cafetaria,Cafetaria,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",150,200,643
488446.444807474,6657958.79326206,100928,0000025610,Zuiderkroon,Foyer,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",550,900,644
488446.444807474,6657958.79326206,100929,0000025610,Zuiderkroon,Theaterzaal,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",550,865,645
497306.151069139,6662982.29641002,100930,0000012759,Ertbrand Tennisclub,Cafetaria,"Feest, Hobby, Repetitie, Vergader, Vergader1",60,120,646
494824.89541508,6665000.29946558,100931,0000013412,De Zeelbaan,Vergaderzaal,"Feest, Hobby, Repetitie, Vergader, Vergader1",8,10,647
494824.89541508,6665000.29946558,100932,0000013412,De Zeelbaan,Cafetaria,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",200,200,648
